ItemID,SalesDate,CostPrice, QtySales 
SKU_8291_112,6/1/2018,23.65," 1,170.00 "
SKU_8291_112,7/1/2018,23.65, 627.00 
SKU_8291_112,8/1/2018,23.65," 1,196.50 "
SKU_8291_112,9/1/2018,23.65," 1,592.50 "
SKU_8291_112,10/1/2018,23.65," 1,185.00 "
SKU_8291_112,11/1/2018,23.65," 1,191.00 "
SKU_8291_112,12/1/2018,23.65, 450.00 
SKU_8291_112,1/1/2019,23.65, 585.00 
SKU_8291_112,2/1/2019,23.65, 658.00 
SKU_8291_112,3/1/2019,23.65," 1,285.00 "
SKU_8291_112,4/1/2019,23.65," 1,298.00 "
SKU_8291_112,5/1/2019,23.65," 1,289.00 "
SKU_8291_112,6/1/2019,23.65," 1,012.00 "
SKU_8291_112,7/1/2019,23.65, 952.00 
SKU_8291_112,8/1/2019,23.65, 952.00 
SKU_8291_112,9/1/2019,23.65," 1,234.00 "
SKU_8291_112,10/1/2019,23.65," 1,155.00 "
SKU_8291_112,11/1/2019,23.65," 1,064.00 "
SKU_8291_112,12/1/2019,23.65, 305.00 
SKU_8291_112,1/1/2020,23.65, 805.00 
SKU_8291_112,2/1/2020,23.65, 433.50 
SKU_8291_112,3/1/2020,23.65, 519.00 
SKU_8291_112,4/1/2020,23.65, 705.00 
SKU_8291_112,5/1/2020,23.65," 1,273.00 "
SKU_8291_112,6/1/2020,23.65, 942.00 
SKU_8291_112,7/1/2020,23.65," 2,395.00 "
SKU_8291_112,8/1/2020,23.65," 1,219.00 "
SKU_8291_112,9/1/2020,23.65," 1,514.00 "
SKU_8291_112,10/1/2020,23.65," 1,181.00 "
SKU_8291_112,11/1/2020,23.65, 688.00 
SKU_8291_112,12/1/2020,23.65, 552.50 
SKU_8291_112,1/1/2021,23.65, 706.00 
SKU_8291_112,2/1/2021,23.65, 765.00 
SKU_8291_112,3/1/2021,23.65," 1,124.00 "
SKU_8291_112,4/1/2021,23.65, 996.00 
SKU_8291_112,5/1/2021,23.65, 557.00 
SKU_8291_112,6/1/2021,23.65," 1,481.50 "
SKU_8291_112,7/1/2021,23.65," 1,157.00 "
SKU_8291_112,8/1/2021,23.65," 1,709.50 "
SKU_8291_112,9/1/2021,23.65," 1,681.00 "
SKU_8291_112,10/1/2021,23.65," 1,270.00 "
SKU_8291_112,11/1/2021,23.65," 1,940.00 "
SKU_8291_112,12/1/2021,23.65, 474.00 
SKU_8291_112,1/1/2022,23.65, 568.00 
SKU_8291_112,2/1/2022,23.65, 578.00 
SKU_8291_112,3/1/2022,23.65," 1,470.00 "
SKU_8291_112,4/1/2022,23.65, 732.00 
SKU_8291_112,5/1/2022,23.65, 717.00 
SKU_8291_112,6/1/2022,23.65," 2,014.00 "
SKU_8291_112,7/1/2022,23.65, 563.00 
SKU_8291_112,8/1/2022,23.65, 983.00 
SKU_8291_112,9/1/2022,23.65, 750.00 
SKU_8291_112,10/1/2022,23.65, 348.00 
SKU_8291_112,11/1/2022,23.65," 1,486.00 "
SKU_8291_112,12/1/2022,23.65," 1,045.00 "
SKU_8291_112,1/1/2023,23.65, 604.00 
SKU_8291_112,2/1/2023,23.65, 279.00 
SKU_8291_112,3/1/2023,23.65, 821.00 
SKU_8291_112,4/1/2023,23.65," 1,415.00 "
SKU_8291_112,5/1/2023,23.65," 1,116.00 "
SKU_8291_112,6/1/2023,23.65," 1,313.00 "
SKU_8291_112,7/1/2023,23.65," 1,057.00 "
SKU_8291_112,8/1/2023,23.65, 693.00 
SKU_8291_112,9/1/2023,23.65," 1,061.00 "
SKU_8291_112,10/1/2023,23.65," 1,352.50 "
SKU_8291_112,11/1/2023,23.65," 1,205.00 "
SKU_8291_112,12/1/2023,23.65, 318.00 
SKU_8291_112,1/1/2024,23.65, 382.00 
SKU_8291_112,2/1/2024,23.65, 719.00 
SKU_8291_112,3/1/2024,23.65, 415.00 
SKU_8291_112,4/1/2024,23.65, 991.00 
SKU_8291_112,5/1/2024,23.65, 628.00 
SKU_8291_112,6/1/2024,23.65," 1,676.00 "
SKU_8291_112,7/1/2024,23.65, 630.00 
SKU_8291_112,8/1/2024,23.65," 1,479.00 "
SKU_8291_112,9/1/2024,23.65, 406.00 
SKU_8291_112,10/1/2024,23.65," 1,316.00 "
SKU_6478_111,1/1/2017,16.77, 741.00 
SKU_6478_111,2/1/2017,16.77," 1,206.00 "
SKU_6478_111,3/1/2017,16.77," 1,818.00 "
SKU_6478_111,4/1/2017,16.77," 1,137.50 "
SKU_6478_111,5/1/2017,16.77," 1,487.00 "
SKU_6478_111,6/1/2017,16.77," 1,561.00 "
SKU_6478_111,7/1/2017,16.77," 2,235.50 "
SKU_6478_111,8/1/2017,16.77," 2,568.00 "
SKU_6478_111,9/1/2017,16.77," 2,413.00 "
SKU_6478_111,10/1/2017,16.77," 2,782.00 "
SKU_6478_111,11/1/2017,16.77," 2,021.00 "
SKU_6478_111,12/1/2017,16.77," 1,113.00 "
SKU_6478_111,1/1/2018,16.77," 1,309.50 "
SKU_6478_111,2/1/2018,16.77," 2,574.60 "
SKU_6478_111,3/1/2018,16.77, 771.00 
SKU_6478_111,4/1/2018,16.77," 1,155.00 "
SKU_6478_111,5/1/2018,16.77," 1,644.50 "
SKU_6478_111,6/1/2018,16.77," 1,373.00 "
SKU_6478_111,7/1/2018,16.77," 2,980.00 "
SKU_6478_111,8/1/2018,16.77," 3,376.00 "
SKU_6478_111,9/1/2018,16.77," 7,621.10 "
SKU_6478_111,10/1/2018,16.77," 5,309.20 "
SKU_6478_111,11/1/2018,16.77," 2,358.00 "
SKU_6478_111,12/1/2018,16.77," 1,167.00 "
SKU_6478_111,1/1/2019,16.77," 1,461.00 "
SKU_6478_111,2/1/2019,16.77," 1,704.00 "
SKU_6478_111,3/1/2019,16.77," 3,013.50 "
SKU_6478_111,4/1/2019,16.77," 1,293.00 "
SKU_6478_111,5/1/2019,16.77," 1,643.00 "
SKU_6478_111,6/1/2019,16.77," 1,952.40 "
SKU_6478_111,7/1/2019,16.77," 3,909.00 "
SKU_6478_111,8/1/2019,16.77," 2,626.90 "
SKU_6478_111,9/1/2019,16.77," 2,794.00 "
SKU_6478_111,10/1/2019,16.77," 3,535.00 "
SKU_6478_111,11/1/2019,16.77," 1,851.00 "
SKU_6478_111,12/1/2019,16.77," 2,191.00 "
SKU_6478_111,1/1/2020,16.77," 1,104.00 "
SKU_6478_111,2/1/2020,16.77," 1,169.00 "
SKU_6478_111,3/1/2020,16.77," 1,347.00 "
SKU_6478_111,4/1/2020,16.77, 936.00 
SKU_6478_111,5/1/2020,16.77," 1,685.00 "
SKU_6478_111,6/1/2020,16.77," 2,697.50 "
SKU_6478_111,7/1/2020,16.77," 2,369.00 "
SKU_6478_111,8/1/2020,16.77," 5,221.00 "
